anio,sexo,via,continente,rango_edad,total
2019,Hombre,Vía terrestre,América,<25,152436
2019,Mujer,Vía terrestre,América,<25,142155
2019,Hombre,Vía terrestre,América,25-39,140519
2019,Mujer,Vía terrestre,América,25-39,121072
2019,Hombre,Vía terrestre,América,40-59,77532
2019,Mujer,Vía terrestre,América,40-59,74983
2019,Hombre,Vía Aérea,América,40-59,60648
2019,Mujer,Vía Aérea,América,<25,54940
2019,Mujer,Vía Aérea,América,40-59,52837
2019,Hombre,Vía Aérea,América,25-39,51688
2019,Mujer,Vía Aérea,América,25-39,47516
2019,Hombre,Vía Aérea,América,<25,47066
2019,Mujer,Vía Aérea,América,60+,39451
2019,Hombre,Vía Aérea,América,60+,37832
2019,Hombre,Vía Aérea,Europa,40-59,25400
2019,Mujer,Vía Aérea,Europa,40-59,21510
2019,Hombre,Vía Aérea,Europa,25-39,21485
2019,Mujer,Vía Aérea,Europa,25-39,20359
2019,Mujer,Vía Aérea,Europa,<25,19592
2019,Mujer,Vía terrestre,América,60+,18915
2019,Hombre,Vía terrestre,América,60+,17193
2019,Hombre,Vía Aérea,Europa,<25,16968
2019,Hombre,Vía Aérea,Europa,60+,13536
2019,Mujer,Vía Aérea,Europa,60+,11445
2019,Hombre,Vía Aérea,Asia,25-39,6941
2019,Hombre,Vía terrestre,Europa,25-39,6594
2019,Mujer,Vía terrestre,Europa,25-39,5709
2019,Hombre,Vía Aérea,Asia,40-59,4876
2019,Hombre,Vía Maritimo,Asia,25-39,4093
2019,Hombre,Vía Aérea,Asia,<25,3735
2019,Mujer,Vía Aérea,Asia,25-39,3732
2019,Mujer,Vía terrestre,Europa,<25,3625
2019,Hombre,Vía terrestre,Europa,<25,3286
2019,Hombre,Vía Maritimo,Asia,40-59,3151
2019,Mujer,Vía Aérea,Asia,40-59,2686
2019,Hombre,Vía terrestre,Europa,40-59,1864
2019,Mujer,Vía Aérea,Asia,<25,1862
2019,Mujer,Vía Aérea,Oceanía,60+,1697
2019,Hombre,Vía Aérea,Oceanía,60+,1641
2019,Hombre,Vía Aérea,Asia,60+,1533
2019,Hombre,Vía Aérea,África,25-39,1530
2019,Hombre,Vía Maritimo,Europa,40-59,1513
2019,Mujer,Vía Aérea,Oceanía,40-59,1357
2019,Hombre,Vía Maritimo,Europa,60+,1294
2019,Mujer,Vía Aérea,Asia,60+,1258
2019,Hombre,Vía Maritimo,Europa,25-39,1232
2019,Mujer,Vía Aérea,Oceanía,25-39,1169
2019,Hombre,Vía Aérea,Oceanía,25-39,1124
2019,Hombre,Vía Aérea,Oceanía,40-59,1079
2019,Hombre,Vía terrestre,Asia,<25,1047
2019,Hombre,Vía Maritimo,América,60+,997
2019,Mujer,Vía Maritimo,Europa,60+,968
2019,Hombre,Vía Maritimo,América,40-59,880
2019,Mujer,Vía terrestre,Europa,40-59,877
2019,Mujer,Vía Maritimo,América,60+,842
2019,Hombre,Vía terrestre,Europa,60+,799
2019,Hombre,Vía terrestre,Asia,25-39,753
2019,Hombre,Vía Maritimo,Asia,<25,741
2019,Hombre,Vía Maritimo,América,25-39,738
2019,Mujer,Vía Aérea,Oceanía,<25,713
2019,Mujer,Vía Aérea,África,25-39,638
2019,Hombre,Vía Aérea,África,<25,629
2019,Hombre,Vía Aérea,Oceanía,<25,565
2019,Mujer,Vía terrestre,Asia,<25,527
2019,Hombre,Vía fluvial,América,25-39,522
2019,Mujer,Vía terrestre,Asia,25-39,481
2019,Hombre,Vía terrestre,Oceanía,25-39,465
2019,Hombre,Vía Aérea,África,40-59,440
2019,Mujer,Vía Aérea,África,<25,417
2019,Mujer,Vía fluvial,América,40-59,415
2019,Hombre,Vía fluvial,América,40-59,390
2019,Mujer,Vía terrestre,Oceanía,25-39,375
2019,Mujer,Vía terrestre,Europa,60+,354
2019,Hombre,Vía Maritimo,Europa,<25,351
2019,Mujer,Vía fluvial,América,25-39,350
2019,Hombre,Vía terrestre,Asia,40-59,308
2019,Mujer,Vía Maritimo,Europa,40-59,242
2019,Hombre,Vía fluvial,América,<25,235
2019,Mujer,Vía fluvial,América,<25,220
2019,Mujer,Vía terrestre,Asia,40-59,198
2019,Mujer,Vía Aérea,África,40-59,193
2019,Hombre,Vía terrestre,Oceanía,<25,166
2019,Mujer,Vía terrestre,Oceanía,<25,165
2019,Mujer,Vía Maritimo,Europa,25-39,147
2019,Mujer,Vía fluvial,América,60+,135
2019,Hombre,Vía fluvial,América,60+,123
2019,Mujer,Vía Maritimo,América,40-59,112
2019,Hombre,Vía Maritimo,Asia,60+,105
2019,Hombre,Vía Maritimo,América,<25,95
2019,Hombre,Vía terrestre,Asia,60+,88
2019,Hombre,Vía Maritimo,Oceanía,25-39,74
2019,Hombre,Vía terrestre,África,25-39,74
2019,Hombre,Vía Maritimo,Oceanía,60+,73
2019,Hombre,Vía terrestre,Oceanía,40-59,70
2019,Mujer,Vía Maritimo,Europa,<25,69
2019,Mujer,Vía Maritimo,América,25-39,65
2019,Hombre,Vía Maritimo,Oceanía,40-59,61
2019,Hombre,Vía Aérea,África,60+,59
2019,Hombre,Vía terrestre,Oceanía,60+,58
2019,Mujer,Vía Maritimo,América,<25,55
2019,Mujer,Vía Maritimo,Oceanía,60+,52
2019,Mujer,Vía Maritimo,Asia,25-39,50
2019,Mujer,Vía terrestre,Asia,60+,46
2019,Mujer,Vía terrestre,Oceanía,40-59,44
2019,Mujer,Vía Aérea,África,60+,44
2019,Mujer,Vía Maritimo,Asia,40-59,37
2019,Hombre,Vía Maritimo,África,25-39,35
2019,Mujer,Vía Maritimo,Oceanía,25-39,30
2019,Mujer,Vía terrestre,Oceanía,60+,29
2019,Mujer,Vía Maritimo,Oceanía,40-59,28
2019,Hombre,Vía terrestre,África,<25,28
2019,Mujer,Vía terrestre,África,25-39,28
2019,Hombre,Vía terrestre,África,40-59,25
2019,Indefinido,Vía terrestre,América,<25,23
2019,Mujer,Vía Maritimo,Oceanía,<25,19
2019,Indefinido,Vía Aérea,América,40-59,19
2019,Hombre,Vía Maritimo,Oceanía,<25,18
2019,Indefinido,Vía terrestre,América,25-39,18
2019,Mujer,Vía terrestre,África,<25,14
2019,Mujer,Vía Maritimo,África,25-39,11
2019,Hombre,Vía Maritimo,África,<25,11
2019,Hombre,Vía terrestre,África,60+,10
2019,Hombre,Vía Maritimo,África,40-59,10
2019,Mujer,Vía Maritimo,Asia,<25,10
2019,Mujer,Vía terrestre,África,40-59,9
2019,Indefinido,Vía Aérea,América,25-39,8
2019,Indefinido,Vía terrestre,América,40-59,8
2019,Hombre,Vía fluvial,Europa,25-39,7
2019,Indefinido,Vía Aérea,Europa,25-39,6
2019,Mujer,Vía fluvial,Europa,25-39,6
2019,Indefinido,Vía Aérea,América,<25,6
2019,Hombre,Vía Maritimo,África,60+,5
2019,Indefinido,Vía Aérea,Asia,25-39,4
2019,Mujer,Vía Maritimo,Asia,60+,4
2019,Indefinido,Vía Aérea,Europa,<25,4
2019,Mujer,Vía Maritimo,África,<25,4
2019,Indefinido,Vía terrestre,América,60+,3
2019,Indefinido,Vía Aérea,Europa,60+,2
2019,Mujer,Vía Maritimo,África,40-59,2
2019,Mujer,Vía fluvial,Europa,<25,2
2019,Indefinido,Vía Maritimo,Asia,40-59,2
2019,Indefinido,Vía Aérea,Europa,40-59,2
2019,Indefinido,Vía terrestre,Asia,<25,2
2019,Indefinido,Vía terrestre,Asia,25-39,1
2019,Indefinido,Vía terrestre,Europa,<25,1
2019,Mujer,Vía fluvial,Asia,25-39,1
2019,Hombre,Vía fluvial,Asia,<25,1
2019,Indefinido,Vía Maritimo,América,40-59,1
2019,Indefinido,Vía Aérea,Asia,40-59,1
2019,Mujer,Vía Maritimo,África,60+,1
2019,Hombre,Vía fluvial,Europa,40-59,1
2019,Indefinido,Vía Maritimo,Asia,25-39,1
2019,Indefinido,Vía terrestre,Europa,25-39,1
2019,Hombre,Vía fluvial,Oceanía,25-39,1
2023,Hombre,Vía Aérea,América,40-59,67397
2023,Hombre,Vía Aérea,América,25-39,58743
2023,Mujer,Vía Aérea,América,<25,58285
2023,Mujer,Vía Aérea,América,40-59,57349
2023,Hombre,Vía Aérea,América,<25,53071
2023,Mujer,Vía Aérea,América,25-39,52820
2023,Hombre,Vía terrestre,América,25-39,45309
2023,Mujer,Vía Aérea,América,60+,42507
2023,Hombre,Vía Aérea,América,60+,41614
2023,Hombre,Vía terrestre,América,40-59,33618
2023,Mujer,Vía terrestre,América,25-39,31954
2023,Mujer,Vía terrestre,América,40-59,25619
2023,Hombre,Vía terrestre,América,<25,23966
2023,Hombre,Vía Aérea,Europa,40-59,23574
2023,Hombre,Vía Aérea,Europa,25-39,22545
2023,Mujer,Vía Aérea,Europa,25-39,21191
2023,Mujer,Vía terrestre,América,<25,20627
2023,Mujer,Vía Aérea,Europa,40-59,19361
2023,Mujer,Vía Aérea,Europa,<25,17702
2023,Hombre,Vía Aérea,Asia,25-39,15972
2023,Hombre,Vía Aérea,Europa,<25,15787
2023,Hombre,Vía Aérea,Europa,60+,13024
2023,Hombre,Vía Aérea,Asia,40-59,12439
2023,Mujer,Vía Aérea,Europa,60+,11115
2023,Hombre,Vía terrestre,América,60+,10655
2023,Mujer,Vía terrestre,América,60+,9817
2023,Mujer,Vía Aérea,Asia,25-39,6841
2023,Mujer,Vía Aérea,Asia,40-59,5551
2023,Hombre,Vía Aérea,Asia,<25,5433
2023,Hombre,Vía terrestre,Europa,25-39,3698
2023,Mujer,Vía Aérea,Asia,<25,3515
2023,Mujer,Vía terrestre,Europa,25-39,3174
2023,Hombre,Vía Marítimo,América,60+,1624
2023,Mujer,Vía Marítimo,América,60+,1588
2023,Mujer,Vía terrestre,Europa,<25,1479
2023,Hombre,Vía terrestre,Europa,<25,1465
2023,Hombre,Vía Aérea,Asia,60+,1429
2023,Hombre,Vía terrestre,Europa,40-59,1333
2023,Hombre,Vía Marítimo,Europa,60+,1328
2023,Mujer,Vía Marítimo,Europa,60+,1218
2023,Mujer,Vía Aérea,Asia,60+,1161
2023,Hombre,Vía Aérea,Oceanía,25-39,1035
2023,Mujer,Vía Aérea,Oceanía,25-39,1012
2023,Mujer,Vía Aérea,Oceanía,60+,951
2023,Hombre,Vía Aérea,Oceanía,60+,909
2023,Hombre,Vía Aérea,África,25-39,810
2023,Mujer,Vía Aérea,Oceanía,40-59,740
2023,Hombre,Vía Aérea,Oceanía,40-59,724
2023,Hombre,Vía terrestre,Europa,60+,712
2023,Mujer,Vía terrestre,Europa,40-59,686
2023,Hombre,Vía Marítimo,Asia,25-39,421
2023,Hombre,Vía Marítimo,Europa,40-59,404
2023,Hombre,Vía Marítimo,América,40-59,396
2023,Mujer,Vía Aérea,Oceanía,<25,334
2023,Hombre,Vía terrestre,Asia,<25,324
2023,Hombre,Vía Marítimo,América,25-39,324
2023,Hombre,Vía terrestre,Asia,25-39,321
2023,Hombre,Vía Aérea,Oceanía,<25,319
2023,Hombre,Vía Marítimo,Europa,25-39,293
2023,Mujer,Vía terrestre,Europa,60+,290
2023,Hombre,Vía Marítimo,Asia,40-59,282
2023,Mujer,Vía Marítimo,Europa,40-59,264
2023,Hombre,Vía Aérea,África,40-59,234
2023,Hombre,Vía Aérea,África,<25,227
2023,Mujer,Vía Aérea,África,25-39,219
2023,Hombre,Vía terrestre,Asia,40-59,190
2023,Hombre,Vía terrestre,Oceanía,25-39,187
2023,Mujer,Vía terrestre,Asia,<25,175
2023,Mujer,Vía Marítimo,América,40-59,171
2023,Mujer,Vía terrestre,Asia,25-39,169
2023,Mujer,Vía Marítimo,Europa,25-39,167
2023,Hombre,Vía fluvial,América,25-39,166
2023,Hombre,Vía fluvial,América,40-59,150
2023,Mujer,Vía fluvial,América,25-39,147
2023,Mujer,Vía terrestre,Oceanía,25-39,121
2023,Mujer,Vía fluvial,América,40-59,117
2023,Hombre,Vía Marítimo,Europa,<25,100
2023,Mujer,Vía terrestre,Asia,40-59,100
2023,Hombre,Vía fluvial,América,<25,98
2023,Mujer,Vía Marítimo,América,25-39,98
2023,Mujer,Vía Aérea,África,40-59,94
2023,Hombre,Vía Marítimo,Oceanía,60+,90
2023,Mujer,Vía Marítimo,Oceanía,60+,89
2023,Mujer,Vía Marítimo,Europa,<25,83
2023,Mujer,Vía Aérea,África,<25,82
2023,Mujer,Vía fluvial,América,<25,77
2023,Hombre,Vía terrestre,Asia,60+,65
2023,Hombre,Vía terrestre,Oceanía,<25,59
2023,Mujer,Vía Aérea,África,60+,58
2023,Hombre,Vía Aérea,África,60+,57
2023,Hombre,Vía Marítimo,América,<25,57
2023,Mujer,Vía Marítimo,América,<25,53
2023,Hombre,Vía terrestre,Oceanía,40-59,53
2023,Hombre,Vía Marítimo,África,25-39,53
2023,Hombre,Vía terrestre,Oceanía,60+,50
2023,Mujer,Vía terrestre,Asia,60+,44
2023,Hombre,Vía Marítimo,Asia,<25,43
2023,Mujer,Vía Marítimo,África,25-39,40
2023,Hombre,Vía fluvial,América,60+,37
2023,Hombre,Vía fluvial,Europa,25-39,37
2023,Mujer,Vía terrestre,Oceanía,<25,32
2023,Mujer,Vía terrestre,Oceanía,40-59,32
2023,Hombre,Vía Marítimo,Asia,60+,30
2023,Hombre,Vía terrestre,África,25-39,29
2023,Mujer,Vía fluvial,América,60+,29
2023,Mujer,Vía Marítimo,Asia,40-59,28
2023,Indefinido,Vía Aérea,América,25-39,28
2023,Indefinido,Vía Aérea,América,<25,27
2023,Hombre,Vía Marítimo,Oceanía,25-39,26
2023,Mujer,Vía fluvial,Europa,25-39,26
2023,Mujer,Vía Marítimo,Asia,25-39,26
2023,Hombre,Vía terrestre,África,40-59,23
2023,Indefinido,Vía terrestre,América,25-39,20
2023,Hombre,Vía Marítimo,Oceanía,40-59,19
2023,Indefinido,Vía terrestre,América,<25,18
2023,Mujer,Vía Marítimo,Asia,60+,16
2023,Hombre,Vía fluvial,Europa,<25,14
2023,Mujer,Vía Marítimo,Oceanía,25-39,13
2023,Mujer,Vía Marítimo,Oceanía,40-59,13
2023,Hombre,Vía fluvial,Europa,40-59,13
2023,Indefinido,Vía Aérea,América,40-59,12
2023,Hombre,Vía Marítimo,África,40-59,11
2023,Hombre,Vía terrestre,África,<25,10
2023,Mujer,Vía fluvial,Europa,<25,10
2023,Mujer,Vía terrestre,África,40-59,10
2023,Mujer,Vía terrestre,África,25-39,9
2023,Mujer,Vía terrestre,Oceanía,60+,9
2023,Hombre,Vía terrestre,África,60+,8
2023,Hombre,Vía fluvial,Europa,60+,7
2023,Mujer,Vía terrestre,África,<25,7
2023,Indefinido,Vía terrestre,América,40-59,7
2023,Hombre,Vía Marítimo,África,60+,7
2023,Mujer,Vía Marítimo,África,40-59,6
2023,Mujer,Vía Marítimo,Oceanía,<25,6
2023,Indefinido,Vía Aérea,Europa,<25,6
2023,Hombre,Vía Marítimo,África,<25,6
2023,Mujer,Vía Marítimo,África,<25,6
2023,Indefinido,Vía Aérea,Europa,40-59,6
2023,Indefinido,Vía Aérea,Europa,25-39,5
2023,Indefinido,Vía Aérea,América,60+,4
2023,Mujer,Vía terrestre,África,60+,4
2023,Hombre,Vía Marítimo,Oceanía,<25,3
2023,Mujer,Vía Marítimo,Asia,<25,3
2023,Indefinido,Vía Aérea,Asia,40-59,3
2023,Mujer,Vía fluvial,Europa,60+,3
2023,Indefinido,Vía Marítimo,América,60+,2
2023,Hombre,Vía fluvial,Oceanía,25-39,2
2023,Hombre,Vía fluvial,Asia,40-59,2
2023,Indefinido,Vía terrestre,América,60+,2
2023,Mujer,Vía fluvial,Asia,25-39,2
2023,Mujer,Vía Marítimo,África,60+,2
2023,Indefinido,Vía terrestre,Asia,<25,1
2023,Indefinido,Vía Marítimo,Asia,40-59,1
2023,Indefinido,Vía Aérea,Asia,<25,1
2023,Mujer,Vía fluvial,Oceanía,25-39,1
2023,Indefinido,Vía Marítimo,Asia,<25,1
2023,Indefinido,Vía terrestre,Europa,60+,1
2023,Indefinido,Vía Aérea,Europa,60+,1
2023,Indefinido,Vía terrestre,Europa,40-59,1
2023,Indefinido,Vía Aérea,África,25-39,1
2023,Mujer,Vía fluvial,Europa,40-59,1
2023,Indefinido,Vía Aérea,Asia,25-39,1
2023,Mujer,Vía fluvial,Asia,<25,1
